Time dependent ,,,,,,,Time Independent,,,,,,
Year,February Average Temperature (Northeast),February Average Temperature (Midwest),February Average Temperature (Pennsylvania),March Average Temperature (Northeast),March Average Temperature (Midwest),March Average Temperature (Pennsylvania),Country,Population,Area (sq. mi.),Coastline (coast/area ratio),Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%)
1895,15.6,21.9,17,27.6,40.2,31.3,Afghanistan ,31056997,647500,"0,00","163,07",700,"36,0"
1896,22.2,33.5,26.6,25.3,36.9,27.8,Angola ,12127071,1246700,"0,13","191,19",1900,"42,0"
1897,23.6,34.7,27.9,32,44,36.9,Anguilla ,13477,102,"59,80","21,03",8600,"42,1"
1898,24.8,33.3,26.7,38,46,42,Antigua & Barbuda ,69108,443,"34,54","19,46",11000,"42,2"
1899,18.1,22.2,20,29.3,38.4,34,Argentina ,39921833,2766890,"0,18","15,18",11200,"42,3"
1900,21.4,27.5,24.1,26,37.9,29.3,Armenia ,2976372,29800,"0,00","23,28",3500,"42,4"
1901,16,26.2,18.9,30.8,41.9,35.1,Aruba ,71891,193,"35,49","5,89",28000,"42,5"
1902,20.1,23.6,21,37.1,43.9,38.8,Australia ,20264082,7686850,"0,34","4,69",29000,"42,6"
1903,24.5,31.3,28,40.4,47.7,44.5,Austria ,8192880,83870,"0,00","4,66",30000,"42,7"
1904,15,28.2,19.2,29.8,42.8,34,Azerbaijan ,7961619,86600,"0,00","81,74",3400,"42,8"
1905,15.2,22.2,18.1,31.4,47.2,36.9,"Bahamas, The ",303770,13940,"25,41","25,21",16700,"42,9"
1906,22,30.7,25.3,25.7,33.9,29.1,Bahrain ,698585,665,"24,21","17,27",16900,"42,10"
1907,15.2,31.5,20.1,33.3,50.2,39.5,Bangladesh ,147365352,144000,"0,40","62,6",1900,"42,11"
1908,18.4,31.2,22.1,32.7,47.1,38.4,Barbados ,279912,431,"22,51","12,5",15700,"42,12"
1909,26.4,37.2,32.9,29.6,41.1,33.1,Belarus ,10293011,207600,"0,00","13,37",6100,"99,6"
